00A,Bensalem
PY-0009,Puerto La Esperanza
PY-0010,Puerto Risso
PY-0011,Puerto Alegre
PY-0012,Puerto Calera
PY-0013,Puerto Max
PY-0014,Puerto Itapucu
PY-0015,Puerto Abente
PY-0016,Puerto Boqueron
PY-0017,Puerto Michu
PY-0018,Rosario
PY-0019,Villa Rey
PY-0020,Santa Clara
PY-0021,Estancia Herradura
PY-0022,San Cosme y Damian
PY-0023,Coronel Bogado
PY-0024,Estancia Trementina
PY-0025,Estancia Coeyu
PY-0026,Salto del Guaira
PY-BFA,Bahía Negra
PY-OLK,Fuerte Olimpo
PY-PBT,Puerto Leda
PY-PCJ,Puerto La Victoria
PYL,Perry Island
Q51,Kili Island
QA-0001,Doha
QA-0002,
qfx,Igaliku
R03,Alkali Lake
R33,Waldport
RAA,Rakanda
RAW,Arawa
RAX,
RBLA,Sierra Blanca
RBP,Rabaraba
RC0,Clinton
RCAY,Gangshan
RCBS,Shang-I
RCDC,Pingtung
RCDI,Longtan Township
RCFG,Nangang Island
RCFN,Taitung City
RCGI,Lyudao
RCGM,Taoyuan City
RCKH,Kaohsiung City
RCKU,Chiayi City
RCKW,Hengchung
RCLG,Taichung City
RCLY,Orchid Island
RCMQ,Taichung City
RCMT,Beigan Island
RCNN,Tainan City
RCPO,Hsinchu City
RCQC,Makung City
RCQS,Taitung City
RCSQ,Pingtung
RCSS,Taipei City
RCTP,Taipei
RCWA,Wang-an
RCYU,Hualien City
RDV,Red Devil
REH,Rehoboth Beach
RH8H,
RHST,
RI01,Warwick
RI02,Cumberland
RI05,Cranston
RI06,Tiverton
RI07,Tiverton
RI08,Wakefield
RI09,Portsmouth
RI11,Greene
RI12,North Kingstown
RI13,West Kingston
RI14,Providence
RI15,Providence
RI16,Coventry Center
RI20,Cranston
RI21,Newport
RI22,Providence
RI23,Westerly
RI24,Newport
RI25,Providence
RI26,Woonsocket
RI28,Glocester
RI30,Charlestown
RI9,Providence
RJ01,Tokyo
RJ03,Sagamihara
RJ04,
RJAA,Tokyo
RJAF,Matsumoto
RJAH,Omitama
RJAK,
RJAM,
RJAN,Niijima Village
RJAT,Gotemba
RJAW,
RJAZ,Kozushima
RJBB,Osaka
RJBD,Shirahama
RJBE,Kobe
RJBH,
RJBK,
RJBM,Maizuru
RJBT,Tajima
RJCA,
RJCB,Obihiro
RJCC,Chitose / Tomakomai
RJCH,Hakodate
RJCJ,
RJCK,Kushiro
RJCM,Ōzora
RJCN,Nakashibetsu
RJCO,Sapporo
RJCR,Rebun
RJCT,
RJCW,Wakkanai
RJDA,
RJDB,Iki
RJDC,Ube
RJDK,Kamigoto
RJDM,
RJDO,Ojika
RJDT,Tsushima
RJEB,Monbetsu
RJEC,Asahikawa / Hokkaidō
RJEO,Okushiri Island
RJER,Rishiri
RJFA,
RJFC,Yakushima
RJFE,Goto
RJFF,Fukuoka
RJFG,Tanegashima
RJFK,Kagoshima
RJFM,Miyazaki
RJFN,
RJFO,Oita
RJFR,Kitakyūshū
RJFS,Saga
RJFT,Kumamoto
RJFU,Nagasaki
RJFY,
RJFZ,Tsuiki
RJGG,Tokoname
RJKA,Amami
RJKB,Okinoerabujima
RJKI,Kikai
RJKN,Tokunoshima
RJNA,Nagoya
RJNF,
RJNG,Gifu
RJNH,
RJNK,Kanazawa
RJNO,Okinoshima
rjns,Makinohara / Shimada
RJNT,Toyama
RJNW,Wajima
RJNY,
RJOA,Hiroshima
RJOB,Okayama City
RJOC,Izumo
RJOE,
RJOF,
RJOH,Yonago
RJOI,Iwakuni
RJOK,Nankoku
RJOM,Matsuyama
RJOO,Osaka
RJOP,Komatsushima
RJOR,Tottori
RJOS,Tokushima
RJOT,Takamatsu
RJOW,Masuda
RJOY,Yao
RJOZ,
RJSA,Aomori
RJSC,Yamagata
RJSD,Sado
RJSF,Sukagawa
RJSH,
RJSI,
RJSK,Akita
RJSM,Misawa
RJSN,Niigata
RJSO,Ominato
RJSR,Odate
RJSS,Sendai
RJST,Ishinomaki
RJSU,
RJSY,Shonai
RJTA,
RJTC,Tokyo
RJTE,
RJTF,Tokyo
RJTH,Hachijojima
RJTI,Tokyo
RJTJ,Tokyo
RJTK,
RJTL,
RJTO,Izu Oshima
RJTQ,Miyakejima
RJTR,Camp Zama
RJTS,Maebashi
RJTT,Tokyo
RJTU,
RJTX,
RJTY,Fussa
RK11,Camp Merser
RK12,
RK13,
RK14,
RK15,
RK16,
RK17,
RK18,
RK19,
RK1C,
RK1D,Incheon
RK1F,
RK1G,Camp Custer North
RK1H,Camp McNair
RK1J,Camp Greaves
RK1K,DMZ Service Center
RK1L,
RK1M,
RK1N,
RK1P,Camp Irwin
RK1Q,
RK20,
RK21,
RK22,
RK24,
RK25,
RK27,
RK28,
RK29,
RK2A,
RK2C,
RK2D,Boreumdo-ri
RK2X,
RK2Y,Topyonri
RK31,
RK32,
RK33,
RK34,
RK35,
RK36,
RK37,
RK38,
RK39,
RK3A,Seoul
RK3D,
RK3H,
RK3J,ROK 5th Division
RK3K,
RK3L,
RK3M,Wonju
RK3N,
RK3O,
RK3P,
RK3Q,
RK3S,Wonju
RK3T,
RK3U,
RK3V,ROK 12th Division
RK3W,
RK3X,
RK40,
RK41,
RK42,
RK43,
RK44,
RK48,
RK49,
RK4A,Reno Hills
RK4B,
RK4D,Camp Howard
RK4F,
RK4G,
RK4H,
RK4J,"""Bucket"""
RK4K,
RK4M,"""Junction City"""
RK4N,
RK4O,
RK4P,ROK 32nd Division
RK4Q,
RK4R,
RK4S,
RK4U,
RK4W,
RK4Z,
RK50,
RK52,
RK55,
RK57,Daegu
RK58,
RK5B,
RK5C,Camp Carol
RK5G,
RK5H,
RK5J,
RK5K,
RK5L,
RK5M,
RK5N,
RK5P,
RK5Q,
RK5R,
RK5S,
RK5V,Wonhyo-san Mt.
RK5W,
RK5X,
RK5Y,
RK5Z,
RK60,
RK61,
RK64,
RK65,
RK67,
RK68,
RK6A,
RK6B,
RK6C,
RK6D,
RK6O,
RK6R,
RK6T,
RK6V,
RK6W,
RK6Y,
RK6Z,
RK70,HQ Capital Corps
RK71,
RK7A,
RK7B,
RK7C,
RK7D,
RK7I,Incheon
RK7J,
RK7K,
RK7N,
RK7R,
RK82,
RK83,
RK85,
RK86,
RK87,Girin-Myeon
RK88,
RK8D,
RK8G,Baega-ri
RK8I,
RK8J,
RK8K,
RK8L,
RK8M,Jumundo Island
RK8P,
RK8T,Port Hamilton
RK8V,Anma Island
RK8W,Heuksangdo Island
RK8Y,
RK9B,
RK9C,Sangtae-do
RK9E,Udo Island
RK9G,Jeju Island
RK9I,
RK9J,Sang-Chuja Island
RK9K,Ha-Chuja Island
RK9L,
RK9P,Poseung
RK9Q,
RK9R,Eoncheong Island
RK9S,
RK9V,
RK9W,Daecheong Island
RKA1,
RKA2,Seogmo-do Island
RKA5,Boreumdo-ri
RKA6,Sodo Island
RKC4,
RKC5,
RKC6,
RKC7,
RKC8,
RKC9,
RKD1,Masan
RKD3,Yeonpyeong Island
RKD4,Baegryeong-do Island
RKDD,Liancort Rocks
RKDU,Ulleung-do Island
RKJB,
RKJJ,Gwangju
RKJK,Kunsan
RKJM,Mokpo
RKJU,Jeon Ju
RKJY,Yeosu
RKNC,Chun Chon City
RKND,
RKNN,Gangneung
RKNW,Wonju
RKNY,Sokcho / Gangneung
RKPC,Jeju City
RKPD,Jeju Island
RKPE,Jinhae
RKPK,Busan
RKPS,Sacheon
RKPU,Ulsan
RKRA,
RKRB,
RKRG,
RKRK,
RKRN,
RKRO,
RKRP,
RKRS,
RKSD,
RKSG,
RKSH,
RKSI,Seoul
RKSM,
RKSO,
RKSS,Seoul
RKSW,
RKSX,
RKSY,Seoul
RKTE,
RKTH,Pohang
RKTI,
RKTN,Daegu
RKTP,Seosan
RKTU,Cheongju
RKTY,
RKU,Yule Island
RKUC,
RKUL,
RMD,Ramagundam
RMP,Rampart
RMU,Corvera
RO-0001,Clinceni
RO-0002,
RO-0003,Rădăuți
RO-0004,
RO02,
RO04,
ROAH,Naha
RODE,
RODN,
ROIG,Ishigaki
ROKJ,
ROKR,Kerama
ROMD,Minamidaitō
ROMY,Miyako City
RORA,Aguni
RORE,Ie
RORH,Hateruma
RORK,Kitadaitōjima
RORS,Shimojishima
RORT,Tarama
RORY,Yoronjima
ROTM,
ROYN,
RP12,
RP13,
RP14,Ramon
RP15,
RP16,
RP17,
RPLA,
RPLB,Olongapo City
RPLC,Angeles City
RPLI,Laoag City
RPLJ,Jomalig
RPLL,Manila
RPLN,Palanan
RPLO,Cuyo
RPLP,Legazpi City
RPLR,Carmen
RPLS,Cavite City
RPLT,Itbayat
RPLU,
RPLV,
RPLX,Corregidor
RPLY,Alabat Island
RPLZ,
RPMA,Surallah
RPMB,General Santos City
RPMC,Cotabato City
RPMD,Davao City
RPME,Butuan City
RPMF,
RPMG,Dipolog City
RPMH,
RPMI,
RPMJ,
RPML,Cagayan De Oro City
RPMM,Malabang
RPMN,
RPMO,Ozamiz City
RPMP,Pagadian City
RPMQ,
RPMR,General Santos
RPMS,Surigao City
RPMU,Mapun
RPMV,Ipil
RPMW,
RPMX,
RPMY,Malaybalay City
RPMZ,Zamboanga City
RPNS,Del Carmen
RPSB,
RPSD,"Taytay Airport, Sandoval Airport"
RPSM,
RPSN,Ubay
RPSR,Caluya
RPUA,
RPUB,Baguio City
RPUD,Daet
RPUE,Lucena
RPUF,
RPUG,
RPUH,San Jose
RPUI,Iba
RPUJ,Castillejos
RPUK,Calapan City
RPUL,
RPUM,
RPUN,Naga
RPUO,Basco
RPUQ,Vigan City
RPUR,Baler
RPUS,
RPUT,Tuguegarao City
RPUU,Bulan
RPUV,Virac
RPUW,Gasan
RPUX,Plaridel
RPUY,Cauayan City
RPUZ,
RPVA,Tacloban City
RPVB,Bacolod City
RPVC,Calbayog City
RPVD,Dumaguete City
RPVE,Malay
RPVF,Catarman
RPVG,Guiuan
RPVH,Hilongos
RPVI,Iloilo City
RPVJ,Masbate
RPVK,Kalibo
RPVL,Mansalay
RPVM,Lapu-Lapu City
RPVO,Ormoc City
RPVP,Puerto Princesa City
RPVQ,
RPVR,Roxas City
RPVS,San Jose
RPVT,Tagbilaran City
RPVU,Romblon
RPVV,Coron
RPVW,Borongan City
RPVY,
RPVZ,
RS-0001,Bela Crkva
RS-0002,Bojnik
RS-0003,
RS-0004,
RS-0005,Sombor
RS-0006,Sombor
RU-0001,St. Petersburg
RU-0002,
RU-0003,
RU-0004,Aleysk
RU-0005,Andreapol
RU-0006,Daurija
RU-0007,Novoorsk
RU-0008,Bada
RU-0009,Rzhev
RU-0010,Balashov
RU-0011,Baltiysk
RU-0012,Umbozero
RU-0013,Mirnaya
RU-0014,Borisoglebsk
RU-0015,Bologoye
RU-0016,Lipetsk
RU-0017,Pugachev
RU-0018,Buturlinovka
RU-0019,Orenburg
RU-0020,Tiksi
RU-0021,Korsakov-Sakhalin Island
RU-0022,Moscow
RU-0023,Borzya
RU-0024,Krasnaya Polyana
RU-0025,Nogliki-Sakhalin Island
RU-0026,Novaya-Sakhalin Island
RU-0027,Rybnovsk-Sakhalin Island
RU-0028,Kaliningrad
RU-0029,
RU-0030,
RU-0031,Moscow
RU-0032,Shimanovsk
RU-0033,Plesetsk
RU-0034,Verkhnyaya Toyma
RU-0035,Grozny
RU-0036,Irkutsk
RU-0037,Kaliningrad
RU-0038,Palana
RU-0039,Kachalovka
RU-0040,Syktyvkar
RU-0041,Apatity
RU-0042,Balakhna
RU-0043,Sarov
RU-0044,Krasnovishersk
RU-0045,Saratov
RU-0046,Tatischevo
RU-0047,Kazan
RU-0048,Menzelinsk
RU-0049,Yelabuga
RU-0050,Yamburg
RU-0051,Nikolsk
RU-0052,Baley
RU-0053,Iul'tin
RU-0054,Kyren
RU-0055,Bereznik
RU-0056,Taksimo
RU-0057,Tarnogskiy Gorodok
RU-0058,Tasayevo
RU-0059,Alakurtti
RU-0060,Chernyakhovsk
RU-0061,Donskoye
RU-0062,Kalinovskaya
RU-0063,Arkhangelsk
RU-0064,Ostrov
RU-0065,Pribilovo
RU-0066,Severomorsk
RU-0067,Veshchevo
RU-0068,
RU-0069,
RU-0070,Manushkino
RU-0071,
RU-0072,
RU-0073,Gostilitsy
RU-0074,Novgorod
RU-0075,Gatchina
RU-0076,
RU-0077,
RU-0078,
RU-0079,Rozhdestveno
RU-0080,Murmansk
RU-0081,Leonidovo
RU-0082,Bolchary
RU-0083,
RU-0084,
RU-0085,Dolgoshchelye
RU-0086,
RU-0087,
RU-0088,Kastrikum
RU-0089,Krymsk
RU-0090,Krasnodar
RU-0091,Armavir
RU-0092,Novorossiysk
RU-0093,Sasovo
RU-0094,Buguruslan
RU-0095,Syzran
RU-0096,Bezenchuk
RU-0097,Maykop
RU-0098,Oktyabrskiy
RU-0099,Aleksandrovskoye
RU-0100,Amazar
RU-0101,
RU-0102,Atkarsk
RU-0103,Azov
RU-0104,Barabinsk
RU-0105,Barguzin
RU-0106,
RU-0107,Bataysk
RU-0108,Berdsk
RU-0109,Novosibirsk
RU-0110,Novosibirsk
RU-0111,Pevek
RU-0112,Evsino
RU-0113,Kamen-na-Obi
RU-0114,Novo-Romanovo
RU-0115,
RU-0116,Severnoe
RU-0117,Klyuchi
RU-0118,Chistoozyornoe
RU-0119,Srednebeloye
RU-0120,Ishim
RU-0121,Verkhneimbatsk
RU-0122,Yalutorovsk
RU-0123,
RU-0124,
RU-0125,Kinel
RU-0126,Borzya
RU-0127,Bryansk
RU-0128,Budyonnovsk
RU-0129,Buzuluk
RU-0130,Yefremov
RU-0131,Troitskoye
RU-0132,Chernigovka
RU-0133,Chita
RU-0134,Chizha
RU-0135,Esso
RU-0136,Galyonki
RU-0137,Gazimurskiy Zavod
RU-0138,Girvas
RU-0139,Goryachinsk
RU-0140,Gryazi
RU-0141,Idrinskoye
RU-0142,Imeni Poliny Osipenko
RU-0143,Yelizovo
RU-0144,Podolsk
RU-0145,Chaikovskiy
RU-0146,Froly
RU-0147,Kurkachi
RU-0148,Shtykovo
RU-0149,Artyom
RU-0150,Saint Petersburg
RU-0151,Saint Petersburg
RU-0152,Mozdok
RU-0153,St. Petersburg
RU-0154,Ropsha
RU-0155,Seltso
RU-0156,Krasnoyarsk
RU-0157,Shalinskoye
RU-0158,Severskaya
RU-0159,Izborsk
RU-0160,Sennaya Guba
RU-0161,Tikhvin
RU-0162,Maksimkin Yar
RU-0163,Yegorlykskaya
RU-0164,Tikhoretsk
RU-0165,Agoy
RU-0166,Giaginskaya
RU-0167,Mozhga
RU-0168,Sarmanovo
RU-0169,Nevyansk
RU-0170,Krasny Aduy
RU-0171,Troitsk
RU-0172,Orsk
RU-0173,Georgiyevka
RU-0174,Saint Petersburg
RU-0175,Saint Petersburg
RU-0176,Saint Petersburg
RU-0177,Uglich
RU-0178,Vologda
RU-0179,Moscow
RU-0180,Moscow
RU-0181,Moscow
RU-0182,Chegdomyn
RU-0183,Ramentsy
RU-0184,Yuryevskoye
RU-0185,Filimonovo
RU-0186,Torzhok
RU-0187,Sergiev Posad
RU-0188,Dubna
RU-0189,Kostomuksha
RU-0190,Pugachyov
RU-0191,Pyaozerskiy
RU-0192,Ozinki
RU-0193,Zverosovkhoz
RU-0194,Sinegorye
RU-0195,Kinel-Cherkassy
RU-0196,Tomtor
RU-0197,Zimovniki
RU-0198,Ust-Ynykchan
RU-0199,Dzhebariki-Khaya
RU-0200,Khandyga
RU-0201,Pskov
RU-0202,Yaroslavl
RU-0203,Koyda
RU-0204,Kanevka
RU-0205,Sosnovka
RU-0206,Tetrino
RU-0207,Chavanga
RU-0208,Chapoma
RU-0209,Derevyannoe
RU-0210,Aginskoye
RU-0211,Taganrog
RU-0212,Arsenyev
RU-0213,Lyubertsy
RU-0214,Lyubertsy
RU-0215,Moscow
RU-0216,Vokhma
RU-0217,Nizhniy Novgorod
RU-0218,Pushchino
RU-0219,Serpukhov
RU-0220,Volosovo
RU-0221,Sonino
RU-0222,Barybino
RU-0223,Malino
RU-0224,Pakhomovo
RU-0225,Bronnitsy
RU-0226,Kolomna
RU-0227,Uzunovo
RU-0228,Tula
RU-0229,Tula
RU-0230,Ryazhsk
RU-0231,Ruza
RU-0232,Bryansk
RU-0233,Kasimov
RU-0234,Moscow
RU-0235,
RU-0236,Vyazma
RU-0237,Kozelsk
RU-0238,Medyn
RU-0239,Starodub
RU-0240,Dubrovka
RU-0241,Rybinsk
RU-0242,Kirzhach
RU-0243,Ivanovo
RU-0244,Teykovo
RU-0245,Taldom
RU-0246,Kolchugino
RU-0247,Volokolamsk
RU-0248,Yegoryevsk
RU-0249,Balashikha
RU-0250,
RU-0251,
RU-0252,Barvikha
RU-0253,Moscow
RU-0254,
RU-0255,Moscow
RU-0256,Mytishchi
RU-0257,Vyazma
RU-0258,Moscow
RU-0259,Moscow
RU-0260,Moscow
RU-0261,Golitsyno
RU-0262,Moscow
RU-0263,Moscow
RU-0264,
RU-0265,
RU-0266,
RU-0267,
RU-0268,
RU-0269,
RU-0270,Krasnogorsk
RU-0271,Moscow
RU-0272,Kotelniki
RU-0273,Sofrino
RU-0274,Vlasikha
RU-0275,Moscow
RU-0276,Irkutsk
RU-0277,St. Petersburg
RU-0278,Primorskiy
RU-0279,Kratovo
RU-0280,
RU-0281,Ulyanovsk
RU-0282,Millerovo
RU-0283,Millerovo
RU-0284,Bogorodsk
RU-0285,Primorsko-Akhtarsk
RU-0286,Temryuk
RU-0287,Korenovsk
RU-0288,Kushchyovskaya
RU-0289,Tambov
RU-0290,Kineshma
RU-0291,Nezhitino
RU-0292,Yuryevets
RU-0293,Krasnogorye
RU-0294,Udskoye
RU-0295,Dolgoprudny
RU-0296,Saint Petersburg
RU-0297,Pereyaslavka
RU-0298,Volgograd
RU-0299,Arsenyev
RU-0300,Saint Petersburg
RU-0301,Yakhroma
RU-0302,Voronezh
RU-0303,Astrakhan
RU-0304,Znamensk
RU-0305,Srednyaya Akhtuba
RU-0306,Volgograd
RU-0307,Kotelnikovo
RU-0308,Romanovskaya
RU-0309,Stavropol
RU-0310,Salsk
RU-0311,Mikhaylovka
RU-0312,Belaya Kalitva
RU-0313,Zernograd
RU-0314,Saratov
RU-0315,Ufa
RU-0316,Loginovo
RU-0317,Samara
RU-0318,Orsk
RU-0319,Kupino
RU-0320,Pervomayskiy
RU-0321,Oryol
RU-0322,Morshansk
RU-0323,Usman
RU-0324,Mordovo
RU-0325,Kursk
RU-0326,Kamenka
RU-0327,Ussuriysk
RU-0328,Shkotovo
RU-0329,Khorol
RU-0330,Ugolnye Kopi
RU-0331,Spassk-Dalniy
RU-0332,Novonezhino
RU-0333,Smolyaninovo
RU-0334,Kansk
RU-0335,Barnaul
RU-0336,Charyshskoye
RU-0337,Ubinskoye
RU-0338,Yurt-Ora
RU-0339,
RU-0340,
RU-0341,Kemerovo
RU-0342,Berdsk
RU-0343,Iskitim
RU-0344,Sibirskiy
RU-0345,Nazarovo
RU-0346,Uzhur
RU-0347,Maryanovka
RU-0348,Krasnoozyorskoye
RU-0349,Shadrinsk
RU-0350,Abzakovo
RU-0351,Chebarkul
RU-0352,
RU-0353,Istra
RU-0354,
RU-0355,Nakhabino
RU-0356,Putilkovo
RU-0357,Moscow
RU-0358,Ilinskoye
RU-0359,Voskresensk
RU-0360,
RU-0361,Solovyovo
RU-0362,Kingisepp
RU-0363,
RU-0364,Suzdal
RU-0365,Novinki
RU-0366,Kolomna
RU-0367,Beloomut
RU-0368,
RU-0369,Gelendzhik
RU-0370,Kochubeyevskoye
RU-0371,Tatsinskaya
RU-0372,Rostov-na-Donu
RU-0373,Rostov-na-Donu
RU-0374,Svetlograd
RU-0375,Moscow
RU-0376,Budyonnovsk
RU-0377,Makhachkala
RU-0378,Khunzakh
RU-0379,Tlyarata
RU-0380,Akhtubinsk
RU-0381,Astrakhan
RU-0382,Astrakhan
RU-0383,Kuznetsk
RU-0384,Usolye
RU-0385,Volsk
RU-0386,Novosyolki
RU-0387,Golovino
RU-0388,Odintsovo
RU-0389,Noginsk
RU-0390,Saint Petersburg
RU-0391,Sergiyev Posad
RU-0392,Chapayevsk
RU-0393,Krasny Yar
RU-0394,Kovdor
RU-0395,Pushnoy
RU-0396,Okunev Nos
RU-0397,Korzhevskiy
RU-0398,Kiyevskoye
RU-0399,Yablonovskiy
RU-0400,Dolzhanskaya
RU-0401,Olginskaya
RU-0402,Medvedkovskaya
RU-0403,Yelizavetinskaya
RU-0404,Novotitarovskaya
RU-0405,Novotitarovskaya
RU-0406,Novodmitriyevskaya
RU-0407,Rodnikovskaya
RU-0408,Kusino
RU-0409,Bolshaya Pustomerzha
RU-0410,Glazhevo
RU-0411,Chernogolovka
RU-0412,Panino
RU-0413,Begunitsy
RU-0414,Oredezh
RU-0415,Dzerzhinskogo
RU-0416,Lyubytino
RU-0417,Okulovka
RU-0418,Ozyorny
RU-0419,Maksatikha
RU-0420,Staritsa
RU-0421,Otradnaya
RU-0422,Mostovskoy
RU-0423,Labinsk
RU-0424,Kurganinsk
RU-0425,Kislovodsk
RU-0426,Psebay
RU-0427,
RU-0428,Saint Petersburg
RU-0429,Morozovo
RU-0430,Kamyshin
RU-0431,Nizhny Novgorod
RU-0432,Karachayevsk
RU-0433,Nizhneudinsk
RU-0490,Zavitinsk
RU-0588,Vernoye
RU-0764,Kubinka
RU-0804,Onega
RU-0845,St Petersburg
RU-0892,Privolzsky
RU-0967,Gorin
RU-1071,Kamensk Uralskiy
RU-1110,Monchegorsk
RU-1221,Vozzhayevka
RU-1241,Dno
RU-1480,Tver
RU-1507,Vladimir
RU-1743,Rtishchevo
RU-1777,Nerchinsk
RU-187,Lodeynoye Pole
RU-1892,Dolinsk
RU-2070,Kurgan
RU-2098,Mukachev
RU-2244,Belogorsk
RU-2249,Gromovo
RU-2344,Samara
RU-2383,Dombarovskiy
RU-2504,Kinesma
RU-2510,Khatanga
RU-2824,Uka
RU-2844,Dzhida
RU-3095,Shadrinsk
RU-3106,Tiksi
RU-3288,Umbozero
RU-3463,
RU-3540,Zapolyarnyj
RU-3686,Vorotynsk
RU-3693,Obozerskiy
RU-3709,Sennoy
RU-3869,Orsk
RU-3880,Kansk
RU-400,Ilinskiy
RU-4111,Chita
RU-4244,Loukhi
RU-4339,Tambov
RU-4388,Olonec
RU-4421,Yoshkar Ola
RU-4464,Olenegorsk
RU-4536,Belaya
RU-4609,Pochinok
RU-4827,Chita
RU-4936,Klyuchi
RU-4948,Lyuban
RU-4972,Olovyannaya
RU-5105,Chuguyevka
RU-5186,Klin
RU-5259,Saratov
RU-5276,Murmansk
RU-5302,Nizhneangarsk
RU-5376,Gdov
RU-5491,Yugoryonok
RU-5537,Slavgorod
RU-5672,Ivanovo
RU-6031,Petrovsk
RU-6088,Elban
RU-6099,Suojarvi
RU-6153,Lenino
RU-6219,Lovozero
RU-6313,Pionersky
RU-6542,Orenburg
RU-6553,Sherlovaya Gora
RU-6558,Saransk
RU-6560,Ulan Ude
RU-6687,Michurinsk
RU-6699,Idritsa
RU-6878,Vykska
RU-6960,Kaliningrad
RU-7218,Leonidovo
RU-7444,Zapolyarnyj
RU-7519,Povorino
RU-7565,Tiksi
RU-7576,Yasnogorsk
RU-7612,"Gorny, Saratov Oblast"
RU-7673,Klimovo
RU-7741,Nizhny Tagil
RU-7847,Chernysevsk
RU-7911,Yugorsk
RU-7978,Uvelsky
RU-8226,Burevestnik
RU-8363,Voronezh
RU-8499,Sharomy
RU-8602,Saratov
RU-8604,Totskoye
RU-8709,Bezhetsk
RU-8914,Tambovka
RU-8964,Pechora
RU-8974,Yaroslavl
RU-9129,Vorkuta
RU-9241,Zdanovo
RU-9300,Louhi
RU-9345,Novgorod
RU-9545,Zherdevka
RU-9561,Kaluga
RU-9587,Volosovo
RU-9754,Ostrov Bolshevik
RU-9937,Rzhev
RU-9942,Kirov
RU-9990,Kirsanov
RU-LNX,Smolensk
RU-VUS,Velikiy Ustyug
RUU,Kawbenaberi
RVC,River Cess
S00,Opheim
S04,Condon
S09,Hot Springs
S16,Copalis
S18,Forks
S28,Dunseith
S30,Lebanon
S31,Lopez
S35,Okanogan
S37,Smoketown
S43,Snohomish
S44,Spanaway
S49,Vale
S51,Klamath Glen
S60,Kenmore
S63,Selma
S66,Homedale
S68,Orofino
S74,Stockton
S76,Coeur D'Alene
S77,Coeur D Alene
S79,Green Sea
S81,Indian Creek
S82,Kooskia
S86,Sultan
S88,Skykomish
S89,Craigmont
S90,Elk City
S92,Fish Lake
S93,Cle Elum
S96,Glengary
SA-0001,
SA-0002,
SA-0003,
SA-0004,
SA-0005,
SA-0006,
SA-0007,
SA01,Cachi
SA02,Cafayate
SA03,Villa Minetti
SA04,Isla Martin Garcia
SA05,Bell Ville
SA06,Saladillo
SA07,Buta Ranquil
SA10,Presidencia Roca
SA11,Campo Arenal
SA12,Quemu Quemu
SA13,Tandil
SA14,Miramar
SA15,Kaiken
SA16,La Puntilla
SA17,Rio Cuarto
SA19,Puerto Deseado
SA20,Neuquen
SA21,Colonia Veinticinco de Mayo
SA22,Salta
SA23,Apóstoles
SA24,Calilegua
SA25,Cañadon Seco
SA26,Bella Vista
SA27,Puerto Rosales
SA29,Choele Choel
SA30,Colonia Catriel
SA31,San Nicolas
SA32,Venado Tuerto
SA33,Comandante Luis Piedrabuena
SA34,Trelew
SA35,Andalgalá
SA36,Saladillo
SA38,Las Lajas
SA39,San Salvador de Jujuy
SA40,San Juan
SA41,El Colorado
SA42,Santa Maria
SA44,Londres/Belén
SA45,Frias
SA46,Fiambala
SA47,
SAAA,San Antonio de Areco
SAAC,Concordia
SAAG,Gualeguaychu
SAAI,Veronica
SAAJ,Junin
SAAM,Puerto Ibicuy/Mazuraca
SAAN,Pergamino
SAAP,Parana
SAAR,Rosario
SAAU,Villaguay
SAAV,Santa Fe
SABE,Buenos Aires
SACA,Santa Isabel - Córdoba
SACC,La Cumbre
SACD,Cordoba
SACE,Santa Isabel - Córdoba
SACI,Pilar
SACL,Laguna Larga
SACM,Villa General Mitre
SACN,Ascochinga
SACO,Cordoba
SACP,Chepes
SACQ,Monte Quemado
SACS,Villa de Soto
SACT,Gobernador Gordillo
SACV,Villa Maria del Rio Seco
SADD,Don Torcuato
SADF,San Fernando
SADG,Monte Grande
SADJ,General Sarmiento
SADL,La Plata
SADM,Moron
SADO,Campo de Mayo
SADP,El Palomar
SADQ,Quilmes
SADR,Merlo
SADS,San Justo
SADZ,La Matanza
SAEA,General Acha
SAEL,Las Flores
SAET,Trenque Lauquen
SAEZ,Buenos Aires
SAFR,Rafaela
SAG,Sagwon
SAHC,Chos Malal
SAHE,Lafontaine
SAHR,General Roca
SAHS,Rincon de los Sauces
SAHZ,Zapala
SAM,Salamo
SAMA,General Alvear
SAMC,Cristo Redentor
SAME,Mendoza
SAMH,Valle Hermoso
SAMJ,Jachal
SAML,Punta de Vacas
SAMM,Malargue
SAMP,La Paz
SAMQ,Mendoza
SAMR,San Rafael
SAMS,San Carlos
SAMU,Uspallata
SANC,Catamarca
SANE,Santiago del Estero
SANH,Rio Hondo
SANI,Tinogasta
SANL,La Rioja
SANO,Chilecito
SANT,San Miguel de Tucuman
SANU,San Juan
SANW,Ceres
SAOC,Rio Cuarto
SAOD,Villa Dolores
SAOE,Rio Tercero
SAOL,La Quiaca
SAOM,Marcos Juarez
SAOR,Villa Reynolds
SAOS,Merlo
SAOU,San Luis
SARC,Corrientes
SARD,Resistencia
SARE,Resistencia
SARF,Formosa
SARG,General Paz
SARI,Puerto Iguazu
SARL,Paso de los Libres
SARM,Monte Caseros
SARO,Ituzaingo
SARP,Posadas
SARS,Presidencia Roque Sáenz Peña
SARV,Villa Angela
SAS,Salton City
SASA,Salta
SASJ,San Salvador de Jujuy
SASL,Salar de Cauchari
SASO,Orán
